name,count,lat,lon
python,97, 37.773972, -122.431297
spark,18, 37.335480 ,-121.893028 
scala,6, 34.070, -118.400
java,35, 34.100 ,-118.330
php,12, 33.663, -117.825
javascript,46, 33.775 ,-118.183
swift,11, 33.825 ,-116.535
julia,1, 34.017 ,-118.495
dart,1, 34.500 ,-118.617
typescript,4, 32.975, -115.533
ruby,7,33.607,-117.923
python,83, 33.038334,	-97.006111
spark,35, 30.601389,	-96.314445
scala,18, 	32.705002,	-97.122780
java,45, 29.749907,	-95.358421 
php,10,  	29.700001,	-98.116669
javascript,32, 32.779167,	-96.808891
swift,11, 31.845682,	-102.367645
typescript,3, 32.448734	,-99.733147
ruby,2, 	31.117119,	-97.727798
python,86, 40.730610,	-73.935242
spark,38, 40.931210,	-73.898750
ruby,5, 	42.902615,	-78.744576
java,28, 42.880230,	-78.878738
scala,17, 42.095554,	-79.238609
php,9, 40.865635,	-73.532326
typescript,6, 43.161030,	-77.610924
julia,3, 40.706928,	-73.621788
javascript,36, 41.708290,	-73.923912
swift,15, 	40.699783,	-73.786026
